Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;14/08/2020;Rendimento;BBPO11       - PATRIMONIAL FDO INV IMOB - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;20; RR$	1,06 ; RR$	21,15 
Credito;14/08/2020;Rendimento;BCFF11       - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;30; RR$	0,45 ; RR$	13,50 
Credito;14/08/2020;Rendimento;HCTR11       - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;2; RR$	1,17 ; RR$	2,34 
Credito;14/08/2020;Rendimento;LGCP11       - LOG CP INTER FDO INV IMOB;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;2; RR$	0,44 ; RR$	0,88 
Credito;14/08/2020;Rendimento;MGFF11       - FII MOGNO FUNDO DE FUNDOS;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;20; RR$	0,56 ; RR$	11,20 
Credito;14/08/2020;Rendimento;MXRF11       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;174; RR$	0,07 ; RR$	12,18 
Debito;13/08/2020;Transferência - Liquidação;BIDI4        - BANCO INTER S/A;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22; RR$	21,47 ; RR$	472,34 
Debito;13/08/2020;Direitos de Subscrição - Não Exercido;CVCB1        - CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;0;-;-
Credito;13/08/2020;Recibo de Subscrição;CVCB9        - CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;15;-;-
Debito;13/08/2020;Recibo de Subscrição;CVCB9        - CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;15;-;-
Credito;13/08/2020;Transferência - Liquidação;UGPA3        - ULTRAPAR PARTICIPACOES S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;24; RR$	19,12 ; RR$	458,88 
Debito;12/08/2020;Solicitação de Subscrição;CVCB1        - CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;15;-;-
Debito;12/08/2020;Direitos de Subscrição - Excercído;CVCB1        - CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;15;-;-
Debito;07/08/2020;Direitos de Subscrição - Não Exercido;BIDI2        - BANCO INTER S/A;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;0;-;-
Credito;07/08/2020;Rendimento;HSML11       - HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;9; RR$	0,18 ; RR$	1,62 
Credito;05/08/2020;Direito de Subscrição;MXRF12       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;71;-;-
Credito;04/08/2020;Transferência - Liquidação;BBPO11       - PATRIMONIAL FDO INV IMOB - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;10; RR$	138,37 ; RR$	1.383,70 
Credito;04/08/2020;Transferência - Liquidação;HGTX3        - CIA. HERING;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;20; RR$	15,39 ; RR$	307,80 
Credito;04/08/2020;Transferência - Liquidação;STBP3        - SANTOS BRASIL PARTICIPACOES SA;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;4; RR$	5,71 ; RR$	22,84 
Debito;04/08/2020;Transferência - Liquidação;VVAR3        - VIA VAREJO S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;15; RR$	20,53 ; RR$	307,95 
Credito;03/08/2020;Transferência - Liquidação;ODPV3        - ODONTOPREV S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;60; RR$	14,76 ; RR$	885,60 
Debito;03/08/2020;Transferência - Liquidação;VVAR3        - VIA VAREJO S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;46; RR$	19,87 ; RR$	914,02 
Credito;23/07/2020;Transferência - Liquidação;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;2; RR$	5,94 ; RR$	11,88 
Debito;22/07/2020;Transferência - Liquidação;CVCB3 - CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.    ;INTER DTVM LTDA;16; RR$	21,99 ; RR$	351,84 
Credito;22/07/2020;Transferência - Liquidação;HCTR11 - HECTARE CE - FDO INV IMOB                         ;INTER DTVM LTDA;2; RR$	120,20 ; RR$	240,40 
Credito;22/07/2020;Transferência - Liquidação;STBP3 - SANTOS BRASIL PARTICIPACOES S.A.                  ;INTER DTVM LTDA;18; RR$	5,77 ; RR$	103,86 
Credito;17/07/2020;Transferência - Liquidação;BIDI4 - BANCO INTER S.A.                                  ;INTER DTVM LTDA;18; RR$	16,64 ; RR$	299,52 
